Company name,Orbis name
"Solitan Systems KK, Japan",-
"Progress Interactive, Japan",-
"System Consultant, Japan","SYSTEM CONSULTANT CO.,LTD."
"Hewlett-Packard Japan Ltd, Japan","HEWLETT-PACKARD JAPAN, LTD."
"D-worx Inc, Japan",-
"Tokyu Corp, Japan",TOKYU CORPORATION
"NRI Data Services, Japan",-
"Electronic Data Sistems Corp, Japan",-
"TransPoint Corp, United States",TRANSPOINT CORP
"Twinhead International Corp, Taiwan",TWINHEAD INTERNATIONAL CORP.
"eBay Inc, United States",EBAY INC
"China Hewlett-Packard Co Ltd, China","CHINA HEWLETT-PACKARD CO., LTD."
"Xi'an Xietong Software Co, China","XIAN XIETONG SOFTWARE CO.,LTD."
"Alcatel SA, France",ALCATEL SA
"MiTAC International Corp, Taiwan",MITAC HOLDINGS CORPORATION
"Legend Computer Group, China",-
"PetroChina Co Ltd, China",PETROCHINA COMPANY LIMITED
"ITC Infotech Ltd(ITC Ltd), United Kingdom",ITC INFOTECH LIMITED
"Compaq Computer (India) Pvt, India",COMPAQ COMPUTER (INDIA) PVT. LTD.
"MGI Software Corp, Canada",MGI SOFTWARE CORP
"Gigabyte Technology Co Ltd, Taiwan",GIGABYTE TECHNOLOGY COMPANY LIMITED
"Qualcomm Inc, United States",QUALCOMM INC
"Inspur Electn Info Ind Co Ltd, China","IEIT SYSTEMS CO., LTD.
"
"Kenwood Corp, Japan",KENWOOD CORP
"Sotec Co Ltd, Japan","K.K. SOTEC JAPAN
"
"Oisix Inc, Japan",OISIX RA DAICHI INC
"Nissho Iwai Corp, Japan",-
"Oki Electric Industry Co Ltd, Japan","OKI ELECTRIC INDUSTRY COMPANY, LIMITED"
"Casio Computer Co Ltd, Japan","CASIO COMPUTER CO.,LTD."
"NTT ME Corp, Japan",NTT-ME CORPORATION
"Sejoo CNC, South Korea","SEJOO ENC CO.,LTD"
"Legend Telecom Co, China",-
"Data Stations, Japan",K.K. DATA STATIONS
"Toshiba Engineering, Japan",-
"Sun Microsys KK(Sun Microsys), Japan",- 
"Nippon Steel Corp, Japan",NIPPON STEEL CORPORATION
"Japan Telecom Co Ltd, Japan",JAPAN TELECOM CO LTD
"Dell Computer KK, Japan","DELL COMPUTER KABUSHIKI KAISHA
"
"Linkmanage Inc, Japan",-
"CricketNext.com, India",WALCHAND CRICKETNEXT .COM PRIV
"Traveljini.com Pvt Ltd, India",TRAVEL JINI.COM LIMITED
"Tom.com International Ltd, Hong Kong",TOM GROUP INTERNATIONAL LIMITED
"Great Wall Technology Co Ltd, China",GREAT WALL TECHNOLOGY COMPANY LIMITED
"Asian Commerce On-Line, China","ASIAN COMMERCE LIMITED
"
"AsiaOne(SG Press Hldgs), Singapore","ASIAONE ONLINE PTE. LTD.
"
"AutoSpeed, Australia","CONNOR JAKE PARKER-DAVIES (also known as AUTOSPEED GROUP) 
"
"Aspire Holdings Ltd, Hong Kong",ASPIRE HOLDING (HONG KONG) LIMITED
"Sun Microsystems (Thailand), Thailand",SUN MICROSYSTEMS (THAILAND) LIMITED
"Ethnic Earth.com Holding Co, Thailand",ETHNIC EARTH . COM HOLDING CO LTD
"Takenaka Corp, Japan",TAKENAKA CORPORATION
"SeeBeyond Technology Corp, United States",SEEBEYOND TECHNOLOGY CORP
"J-Phone Communications, Japan",-
"JCB Co Ltd, Japan","JCB CO.,LTD."
"Starcom Solusindo PT, Indonesia",PT STARCOM SOLUSINDO
"Texascom Hitek System PT, Indonesia",PT TEXASCOM HITEK SYSTEM
"BioProspect Ltd, Australia","BIOPROSPECT AUSTRALIA PTY LTD 
"
"Ceycom Telemedicine Ltd, Sri Lanka",CEYCOM TELEMEDICINE LIMITED
"Ashok Leyland Ltd, India",ASHOK LEYLAND LIMITED
"Australian Defense Force, Australia",-
"Acer Inc, Taiwan","ACER INCORPORATED
"
"Siemens AG, Germany",SIEMENS AG
"Dingtian Science & Tech Inc, China",-
"PacketVideo Corp, United States",PACKETVIDEO CORP
"Vignette Corp, United States",VIGNETTE CORP
"Diamond Entertainment Corp, United States","5 DIAMOND ENTERTAINMENT, CORP."
"Wisevale Technology Co Ltd, Taiwan",NO MATCH
"Elitegroup Computer Systems, Taiwan","ELITEGROUP COMPUTER SYSTEMS CO.,LTD."
"Trend Micro Inc, Japan",TREND MICRO INCORPORATED
"Quanta Computer Inc, Taiwan",QUANTA COMPUTER INC
"RPM Radar, Turkey",R.P.M.RADAR REKLAM PAZARLAMA MUSAVIRLIK ANONIM SIRKETI
"Taiwan Cellular Corp, Taiwan","TAIWAN MOBILE CO., LTD."
