"participants","sic_primary","date_announced","date_terminated","business_description","participant_nation","alliance_deal_name","alliance_sic_code","alliance_nation","status","type","ownership_structure","deal_number","participant_country","continent"
"Solitan Systems KK","7372","2000-02-01","","Develop software","Japan","SOLITAN SYTEMS KK/PROGRESS INTERACTIVE/SYSTEM CONSULTANT/HEWLETT-PACKARD~JAPAN LTD/DAY WORKS/TOKYU CORP/NRI DATA SERVICE -SA","7373","Japan","Completed/Signed","Strategic Alliance",NA,976142045,"Japan","Asia"
"Progress Interactive","7371","2000-02-01","","Dev, whl software","Japan","SOLITAN SYTEMS KK/PROGRESS INTERACTIVE/SYSTEM CONSULTANT/HEWLETT-PACKARD~JAPAN LTD/DAY WORKS/TOKYU CORP/NRI DATA SERVICE -SA","7373","Japan","Completed/Signed","Strategic Alliance",NA,976142045,"Japan","Asia"
"System Consultant","7371","2000-02-01","","Dev,whl softwares","Japan","SOLITAN SYTEMS KK/PROGRESS INTERACTIVE/SYSTEM CONSULTANT/HEWLETT-PACKARD~JAPAN LTD/DAY WORKS/TOKYU CORP/NRI DATA SERVICE -SA","7373","Japan","Completed/Signed","Strategic Alliance",NA,976142045,"Japan","Asia"
"Hewlett-Packard Japan Ltd","3571","2000-02-01","","Electronic Computer Manufacturing","Japan","SOLITAN SYTEMS KK/PROGRESS INTERACTIVE/SYSTEM CONSULTANT/HEWLETT-PACKARD~JAPAN LTD/DAY WORKS/TOKYU CORP/NRI DATA SERVICE -SA","7373","Japan","Completed/Signed","Strategic Alliance",NA,976142045,"Japan","Asia"
"D-worx Inc","7372","2000-02-01","","Dvlp software","Japan","SOLITAN SYTEMS KK/PROGRESS INTERACTIVE/SYSTEM CONSULTANT/HEWLETT-PACKARD~JAPAN LTD/DAY WORKS/TOKYU CORP/NRI DATA SERVICE -SA","7373","Japan","Completed/Signed","Strategic Alliance",NA,976142045,"Japan","Asia"
"Tokyu Corp","4111","2000-02-01","","Pvd railway svcs","Japan","SOLITAN SYTEMS KK/PROGRESS INTERACTIVE/SYSTEM CONSULTANT/HEWLETT-PACKARD~JAPAN LTD/DAY WORKS/TOKYU CORP/NRI DATA SERVICE -SA","7373","Japan","Completed/Signed","Strategic Alliance",NA,976142045,"Japan","Asia"
"NRI Data Services","7373","2000-02-01","","Develop network computing sys","Japan","SOLITAN SYTEMS KK/PROGRESS INTERACTIVE/SYSTEM CONSULTANT/HEWLETT-PACKARD~JAPAN LTD/DAY WORKS/TOKYU CORP/NRI DATA SERVICE -SA","7373","Japan","Completed/Signed","Strategic Alliance",NA,976142045,"Japan","Asia"
"Electronic Data Sistems Corp","3571","2000-02-07","","Mnfr elec computers","Japan","ELECTRONIC DATA SISTEMS CORP/TRANSPOINT CORP  -STRATEGIC ALLIANCE","7375","Supranational","Completed/Signed","Strategic Alliance",NA,974509045,"Japan","Asia"
"TransPoint Corp","7375","2000-02-07","","Internet Service Provider{ISP}","United States","ELECTRONIC DATA SISTEMS CORP/TRANSPOINT CORP  -STRATEGIC ALLIANCE","7375","Supranational","Completed/Signed","Strategic Alliance",NA,974509045,"United States","Americas"
"Legend Holdings Ltd","3571","2000-03-02","","Mnfr,whl computer prod","Hong Kong","LEGEND HOLDINGS/PACIFIC CENTURY CYBERWORKS LTD -STRATEGIC ALLIANCE","7375","China","Completed/Signed","Strategic Alliance",NA,982382045,"Hong Kong","Asia"
