"company_name","degree","betweenness","is_focal","n_deals","cross_continental_deals","n_continents","orbis_name","orbis_match_name","country_iso","city","nace_rev_2_core_code_4_digits_","consolidation_code","last_avail_year","country","address_type","peer_group_size","main_customers","main_distribution_sites","information_provider","information_provider_collection_date","size_class","employees_last_value","current_assets_usd","n_companies_group","entity_type","n_shareholders","n_subsidiaries","roa_net_income","total_assets_eur","total_assets_th_eur_last_avail_value","rnd_over_operating","export_over_operating","long_term_debt_eur","is_guo","num_pat","partner_size_diversity","partner_diversity_sq"
"ELECTRONIC DATA SISTEMS ",1,0,TRUE,1,1,1,NA,"ELECTRONIC DATA SISTEMS ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"SOLITAN SYSTEM KK",6,0,FALSE,1,0,1,NA,"SOLITAN SYSTEM KK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.37707986745561,1.89634896135156
"PROGRESS INTERACTIVE",6,0,FALSE,1,0,1,NA,"PROGRESS INTERACTIVE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.37707986745561,1.89634896135156
"SYSTEM CONSULTANT",6,0,FALSE,1,0,1,"SYSTEM CONSULTANT ","SYSTEM CONSULTANT ","JP","SUMIDA KU","5829","LF","2024","Japan","Registered address / Incorporation address / Legal address","77611",NA,NA,"Teikoku",NA,"Large company",320,NA,2,"GUO",0,5,NA,NA,NA,NA,NA,NA,1,0,0,0
"HEWLETT-PACKARD JAPAN",13,74,TRUE,5,0.2,1,"HEWLETT-PACKARD JAPAN","HEWLETT-PACKARD JAPAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.69933174352155,2.88772837454
"D-WORX",6,0,FALSE,1,0,1,NA,"D-WORX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.37707986745561,1.89634896135156
"TOKYU ",6,0,FALSE,1,0,1,"TOKYU ","TOKYU ","JP","TOKYO","4910","C2","2024","Japan","Registered address / Incorporation address / Legal address","1999",NA,NA,"World'Vest Base Inc.",NA,"Very large company",24054,3073996.51308591,117,"GUO",91,234,2.952,16695150.3818571,"16695150.381857101",0.045,NA,5325487.36302812,1,2,0,0
"LEGEND COMPUTER GROUP",3,3,TRUE,3,0.333333333333333,1,NA,"LEGEND COMPUTER GROUP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0496747733830982,0.00246758311066216
"ITC INFOTECH LTD(ITC LTD)",1,0,FALSE,1,1,1,"ITC INFOTECH","ITC INFOTECH","GB","LONDON","6202","U2","2024","United Kingdom","Registered address / Incorporation address / Legal address","77894",NA,NA,"Vistra",NA,"Very large company",92,18586.5546678299,46,"Controlled subs.",2,1,9.101,17429.8160418979,"17429.816041897899",NA,25.925,0,0,0,0,0
"QUALCOMM",1,0,FALSE,1,1,1,"QUALCOMM","QUALCOMM","US","SAN DIEGO","2630","C1","2025","United States of America","Registered address / Incorporation address / Legal address","5158",NA,NA,"Refinitiv",NA,"Very large company",52000,25754000,138,"GUO",3118,95,11.05,42707595.6477908,"42707595.647790797",20.418,NA,12614765.7527358,1,36977,0,0
