SDC_data,ORBIS_data
"Dell Inc, United States","DELL, INC."
"Beijing Infobird Co Ltd, China","BEIJING INFOBIRD INTERACTIVE TECHNOLOGY CO., LTD."
"Panasonic Computer Solutions, United States",PANASONIC COMPUTER SOLUTIONS CO
"Tracewell Systems Inc, United States",
"IBM Corp, United States",INTERNATIONAL BUSINESS MACHINES CORP
"Texas Transp Inst, United States",
"Hynix Semiconductor Inc, South Korea",SK HYNIX INC.
"Hewlett Packard Co, United States",HEWLETT-PACKARD CO
"Buongiorno Digital Innovation, India",LUMATA DIGITAL INDIA PRIVATE LIMITED
"Polycom Inc, United States",POLYCOM INC
"Competitive Technologies Inc, United States",CALMARE THERAPEUTICS INCORPORATED
"BiCOM Inc, United States",BICOM INC
"City of Portland, Oregon, United States",CITY OF PORTLAND OREGON
"Baidu Inc, China",BAIDU INC
"WellPoint Inc, United States","ELEVANCE HEALTH, INC."
"Suning Appliance Co Ltd, China","GUIZHOU SUNING APPLIANCE CO., LTD."
"Rice University, United States",WILLIAM MARSH RICE UNIVERSITY-MS
"Vodafone Group Plc, United Kingdom",VODAFONE GROUP PLC
"Ramco Systems Ltd, India",RAMCO SYSTEMS LIMITED
"China Comservice Jiangsu Corp, China",
"InRoom Broadcasting Network, United States",INROOM BROADCASTING NETWORK LLC
"Etihad Etisalat Co SJSC, Saudi Arabia",
"Humana Inc, United States",HUMANA INC.
"Fitbit Inc, United States","FITBIT, INC."
"Agilysys Inc, United States","AGILYSYS, INC."
"Motion Computing Inc, United States",MOTION COMPUTING INC.
"Grupo Financiero Banorte SAB, Mexico",GRUPO FINANCIERO BANORTE S.A.B. DE C.V.
"Compuware Corp, United States",COMPUWARE CORP
"Oracle Corp, United States",ORACLE CORP
"Rogue Wave Software Inc, United States",ROGUE WAVE SOFTWARE INC
"Cray Inc, United States",CRAY INC.
"Liqvid eLearning, India",LIQVID ELEARNING SERVICES PRIVATE LIMITED
"Bank of the Philippine Islands, Philippines",BANK OF THE PHILIPPINE ISLANDS
"LiquidCool Solutions Inc, United States","LIQUIDCOOL SOLUTIONS, INC."
"Dedicated Computing LLC, United States",DEDICATED COMPUTING LLC
"Monitise PLC, United Kingdom",
"Continental AG, Germany",CONTINENTAL AG
"ReadSoft AB, Sweden",
"Extreme Networks Inc, United States",EXTREME NETWORKS INC.
