"participants_std","company_name","total_applications","granted_patents","employees_last_value","total_assets_eur","total_assets_usd","n_shareholders","n_subsidiaries","n_companies_group","country_iso","is_guo","is_controlled_sub","roa","rd_ratio","long_term_debt","size_classification","tech_specialist_hhi","avg_ipc_scope","grant_success_rate","n_deals","orbis_match_type","patent_match_type","partner_size_diversity","n_partners","avg_partner_size","max_partner_size","min_partner_size","degree","betweenness","closeness","eigenvector","n_total_deals","n_cross_continental_deals","cross_continental_share","n_continents_reached","partner_size_diversity_sq","ln_employees","ln_total_assets","ln_avg_partner_size","ln_long_term_debt","alliance_experience","tech_specialization","ln_subsidiaries","ln_shareholders","roa_clean","rd_ratio_clean"
"2XU","2XU Pty Ltd",0,0,98,49939.99193874,55443.3814221883,2,1,8,"AU",0,1,4.742,NA,0,"Large company",0,0,0,1,"matched","unmatched",0,1,83,83,83,1,0,1,4.93041668689849e-18,1,1,1,1,0,4.59511985013459,10.8185974262464,4.43081679884331,0,1,0,0.693147180559945,1.09861228866811,4.742,0
"ABACO SYSTEM","Abaco Systems Inc",5,5,7,NA,NA,1,0,2,"US",0,1,NA,NA,NA,"Large company",0.36,2,1,2,"matched","exact",0.606091526731326,2,10.5,15,6,2,2.83728188395517e-05,1,1.37178152836344e-17,2,1,0.5,1,0.36734693877551,2.07944154167984,0,2.4423470353692,0,2,0.36,0,0.693147180559945,0,0
"ALABAMA STATE UNIVERSITY","Alabama State University",3,3,170,NA,NA,1,1,2,"US",1,0,NA,NA,NA,"Very large company",0.388888888888889,2,1,1,"matched","exact",0,1,293400,293400,293400,1,0,0.48993288590604,0.111361063209539,1,0,0,1,0,5.14166355650266,0,12.5892955530015,0,1,0.388888888888889,0.693147180559945,0.693147180559945,0,0
"ALLIANCE DATA SYSTEM ","Alliance Data Systems Corp",1,1,6000,22033891.7275326,22891000,121,67,74,"US",1,0,1.21,NA,2256233.55071147,"Very large company",1,1,1,1,"matched","exact",0,1,111300,111300,111300,1,0,0.521739130434783,2.03593013448225e-17,1,0,0,1,0,8.69968140098951,16.9080924043731,11.6199935219492,14.6292078537098,1,1,4.21950770517611,4.80402104473326,1.21,0
"ALSO HOLDING","Also Holding AG",0,0,4229,3476574,3611811.13250899,26,79,175,"CH",0,1,3.309,0,114411,"Very large company",0,0,0,1,"matched","unmatched",0,1,58000,58000,58000,1,0,0.32967032967033,2.28593076436686e-17,1,1,1,1,0,8.34995727204032,15.0615581717101,10.9682155307592,11.6475612475316,1,0,4.38202663467388,3.29583686600433,3.309,0
"ANACONDA","Anaconda Inc",1,1,12,NA,NA,2,3,4,"US",1,0,NA,NA,NA,"Large company",0.5,2,1,1,"matched","exact",0,1,293400,293400,293400,1,0,0.48993288590604,0.111361063209539,1,0,0,1,0,2.56494935746154,0,12.5892955530015,0,1,0.5,1.38629436111989,1.09861228866811,0,0
"APPLE","Apple Inc",35464,35595,164000,305971309.417227,359241000,5957,81,130,"US",1,0,31.18,8.302,66713211.2538172,"Very large company",0.427966942401026,1.13906447534766,1.0036938867584,20,"matched","exact",1.38538894183399,21,20480,80361,2,21,0.00706483189104838,0.884615384615385,2.18328717667461e-16,20,9,0.45,1,1.91930252015591,12.0076278043487,19.5390018987148,9.92725290608639,18.0159135760345,20,0.427966942401026,4.40671924726425,8.69249013327323,31.18,8.302
"AT&T","AT&T Inc",2523,2524,140990,380012681.166014,394795000,3196,824,1471,"US",1,0,2.722,0.781,114008135.856194,"Very large company",0.503548675045264,1.04278922345483,1.00039635354736,2,"matched","fuzzy",0,2,293400,293400,293400,2,0,0.48993288590604,0.222722126419079,2,0,0,1,0,11.8564513375359,19.7557151842489,12.5892955530015,18.5517803797432,2,0.503548675045264,6.71538338633468,8.06996814905984,2.722,0.781
"AUGUST HOUSE","August House Inc",0,0,2,NA,NA,1,0,2,"US",0,1,NA,NA,NA,"Medium sized company",0,0,0,1,"matched","unmatched",0,1,164000,164000,164000,1,0,0.479166666666667,3.56521212606856e-17,1,0,0,1,0,1.09861228866811,0,12.0076278043487,0,1,0,0,0.693147180559945,0,0
"AVAYA HOLDING ","Avaya Holdings Corp",0,0,8063,4178291.2348496,4073000,3,139,156,"US",1,0,-51.559,8.916,3132949.0378666,"Very large company",0,0,0,1,"matched","unmatched",0,1,293400,293400,293400,1,0,0.48993288590604,0.111361063209539,1,0,0,1,0,8.99516499031115,15.245413164763,12.5892955530015,14.957485622749,1,0,4.9416424226093,1.38629436111989,-51.559,8.916
"AVERTIUM","Avertium",0,0,430,NA,NA,0,0,0,"US",0,0,NA,NA,NA,"Large company",0,0,0,1,"matched","unmatched",0.336717514850737,2,10.5,13,8,2,0,1,1.58391814966685e-17,1,0,0,1,0.113378684807256,6.06610809010375,0,2.4423470353692,0,1,0,0,0,0,0
"AVITRU","Avitru LLC",0,0,18,NA,NA,0,0,0,"US",0,0,NA,NA,NA,"Large company",0,0,0,3,"matched","unmatched",0,3,110,110,110,3,8.51184565186551e-05,1,2.48123248739072e-17,3,1,0.333333333333333,1,0,2.94443897916644,0,4.70953020131233,0,3,0,0,0,0,0
"BANK OF THE PHILIPPINE ISLANDS","Bank of the Philippine Islands",0,0,22062,55065096.5290106,57207103.5036687,9,30,29,"PH",1,0,1.875,NA,NA,"Very large company",0,0,0,1,"matched","unmatched",0,1,293400,293400,293400,1,0,0.48993288590604,0.111361063209539,1,1,1,1,0,10.0016572763084,17.8240266347412,12.5892955530015,0,1,0,3.43398720448515,2.30258509299405,1.875,0
"BEIJING INFOBIRD ","Beijing Infobird Co Ltd",0,0,1,22.1756626186461,25.1161623001099,1,0,2,"CN",0,1,-18.75,NA,NA,"Small company",0,0,0,1,"matched","unmatched",0,1,111300,111300,111300,1,0,0.521739130434783,2.08975351229579e-17,1,1,1,1,0,0.693147180559945,3.14310270300202,11.6199935219492,0,1,0,0,0.693147180559945,-18.75,0
"BETMGM","Betmgm LLC",0,0,140,NA,NA,1,0,0,"US",0,0,NA,NA,NA,"Very large company",0,0,0,1,"matched","unmatched",0,1,916,916,916,1,0,1,7.69646364006502e-18,1,0,0,1,0,4.94875989037817,0,6.82110747225646,0,1,0,0,0.693147180559945,0,0
"BHARTI AIRTEL","Bharti Airtel Ltd",1,1,20310,55572730.1720224,60101890.774589,127,179,181,"IN",1,0,6.524,0,17344467.2415731,"Very large company",1,1,1,1,"matched","exact",0,2,164000,164000,164000,2,0,0.48936170212766,4.76253589855206e-17,1,1,1,1,0,9.91891789019149,17.8332031923662,12.0076278043487,16.6687841801803,1,1,5.19295685089021,4.85203026391962,6.524,0
"BICOM","BiCOM Inc",2,2,40,NA,NA,0,0,0,"US",0,0,NA,NA,NA,"Medium sized company",0.333333333333333,1.5,1,1,"matched","exact",0,1,7,7,7,1,0,1,8.08826831773205e-18,1,0,0,1,0,3.71357206670431,0,2.07944154167984,0,1,0.333333333333333,0,0,0,0
