"participants","sic_primary","date_announced","date_terminated","business_description","participant_nation","alliance_deal_name","alliance_sic_code","alliance_nation","status","type","ownership_structure","deal_number","participant_country","continent"
"Dell Inc","3571","2010-01-04","","Manufacture,wholesale computer","United States","DELL INC/INFOBIRD- STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2175177045,"United States","Americas"
"Beijing Infobird Co Ltd","7389","2010-01-04","","Pvd call center svcs","China","DELL INC/INFOBIRD- STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2175177045,"China","Asia"
"Panasonic Computer Solutions","3571","2010-01-13","","Mnfr notebook computers","United States","PANASONIC COMPUTER SOLUTIONS CO/TRACEWELL SYSTEMS INC- STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,2173817045,"United States","Americas"
"Tracewell Systems Inc","8711","2010-01-13","","Pvd engineering svcs","United States","PANASONIC COMPUTER SOLUTIONS CO/TRACEWELL SYSTEMS INC- STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,2173817045,"United States","Americas"
"IBM Corp","3571","2010-05-05","","Manufacture computer products","United States","IBM /TEXAS TRANSPORTATION INSTITUTE- STRATEGIC ALLIANCE","8748","United States","Completed/Signed","Strategic Alliance",NA,2181253045,"United States","Americas"
"Texas Transp Inst","999A","2010-05-05","","Natl govt agcy","United States","IBM /TEXAS TRANSPORTATION INSTITUTE- STRATEGIC ALLIANCE","8748","United States","Completed/Signed","Strategic Alliance",NA,2181253045,"United States","Americas"
"Hynix Semiconductor Inc","3674","2010-08-31","","Mnfr semiconductors","South Korea","HYNIX SEMICONDUCTOR CORP(DNU)/HP(DNU)- STRATEGIC ALLIANCE","3674","Supranational","Completed/Signed","Strategic Alliance",NA,2216122045,"South Korea","Asia"
"Hewlett Packard Co","3571","2010-08-31","","Mnfr,whl computer equipment","United States","HYNIX SEMICONDUCTOR CORP(DNU)/HP(DNU)- STRATEGIC ALLIANCE","3674","Supranational","Completed/Signed","Strategic Alliance",NA,2216122045,"United States","Americas"
"Buongiorno Digital Innovation","7371","2011-03-18","","Pvd mobile applications","India","BUONGIORNO DIGITAL INNOVATION INDIA PVT/INTERNATIONAL BUSINESS MACHINES~CORP- STRATEGIC ALLIANCE","7371","India","Completed/Signed","Strategic Alliance",NA,2292039045,"India","Asia"
"IBM Corp","3571","2011-03-18","","Manufacture computer products","United States","BUONGIORNO DIGITAL INNOVATION INDIA PVT/INTERNATIONAL BUSINESS MACHINES~CORP- STRATEGIC ALLIANCE","7371","India","Completed/Signed","Strategic Alliance",NA,2292039045,"United States","Americas"
"Hewlett Packard Co","3571","2011-06-01","","Mnfr,whl computer equipment","United States","HEWLETT-PACKARD CO/POLYCOM INC-STRATEGIC ALLIANCE","3571","United States","Completed/Signed","Strategic Alliance",NA,2315438045,"United States","Americas"
"Polycom Inc","3661","2011-06-01","","Mnfr,whl communication equip","United States","HEWLETT-PACKARD CO/POLYCOM INC-STRATEGIC ALLIANCE","3571","United States","Completed/Signed","Strategic Alliance",NA,2315438045,"United States","Americas"
"Competitive Technologies Inc","6794","2011-07-15","","Pvd patent mgmt svcs","United States","COMPETITIVE TECHNOLOGIES INC/BICOM INC-STRATEGIC ALLIANCE","5047","Supranational","Completed/Signed","Strategic Alliance",NA,2329788045,"United States","Americas"
"BiCOM Inc","3571","2011-07-15","","Multi-media company","United States","COMPETITIVE TECHNOLOGIES INC/BICOM INC-STRATEGIC ALLIANCE","5047","Supranational","Completed/Signed","Strategic Alliance",NA,2329788045,"United States","Americas"
"City of Portland, Oregon","999C","2011-08-10","","State government","United States","CITY OF PORTLAND, OREGON/IBM-STRATEGIC ALLIANCE","7371","United States","Completed/Signed","Strategic Alliance",NA,2336168045,"United States","Americas"
"IBM Corp","3571","2011-08-10","","Manufacture computer products","United States","CITY OF PORTLAND, OREGON/IBM-STRATEGIC ALLIANCE","7371","United States","Completed/Signed","Strategic Alliance",NA,2336168045,"United States","Americas"
"Dell Inc","3571","2011-09-06","","Manufacture,wholesale computer","United States","DELL INC/BAIDU INC-STRATEGIC ALLIANCE","3663","China","Completed/Signed","Strategic Alliance",NA,2342603045,"United States","Americas"
"Baidu Inc","7375","2011-09-06","","Web Search Portals","China","DELL INC/BAIDU INC-STRATEGIC ALLIANCE","3663","China","Completed/Signed","Strategic Alliance",NA,2342603045,"China","Asia"
"WellPoint Inc","6324","2011-09-12","","Pvd managed health care svcs","United States","WELLPOINT INC/INTERNATIONAL BUSINESS MACHINES CORP{IBM}-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,2344057045,"United States","Americas"
