"participants","sic_primary","date_announced","date_terminated","business_description","participant_nation","alliance_deal_name","alliance_sic_code","alliance_nation","status","type","ownership_structure","deal_number","participant_country","continent","participants_original","country_iso","city","nace_code","entity_type","employees_last_value","total_assets_eur","total_assets_usd","n_companies_group","n_shareholders","n_subsidiaries","roa","rd_ratio","export_ratio","export_revenue","long_term_debt","is_guo","is_controlled_sub","size_classification","orbis_match_type","participants_std","assignee","total_applications","granted_patents","avg_ipc_scope","avg_team_size","grant_success_rate","total_ipc_mentions","tech_specialist_hhi","patent_match_type"
"Dell Inc","3571","2010-01-04",NA,"Manufacture,wholesale computer","United States","DELL INC/INFOBIRD- STRATEGIC ALLIANCE",7372,"Supranational","Completed/Signed","Strategic Alliance",NA,2175177045,"United States","Americas","Dell Inc","US","ROUND ROCK",2620,"Controlled subs.",111300,35084870.3548407,47540000,715,1,311,4.989,1.883,NA,NA,3868634.63189052,0,1,"Very large company","matched","DELL","DELL INC.",5,5,1.2,3,1,6,0.555555555555556,"exact"
"Beijing Infobird Co Ltd","7389","2010-01-04",NA,"Pvd call center svcs","China","DELL INC/INFOBIRD- STRATEGIC ALLIANCE",7372,"Supranational","Completed/Signed","Strategic Alliance",NA,2175177045,"China","Asia","Beijing Infobird Co Ltd","CN","BEIJING",7112,"Controlled subs.",1,22.1756626186461,25.1161623001099,2,1,0,-18.75,NA,NA,NA,NA,0,1,"Small company","matched","BEIJING INFOBIRD ",NA,0,0,0,0,0,0,0,"unmatched"
"Panasonic Computer Solutions","3571","2010-01-13",NA,"Mnfr notebook computers","United States","PANASONIC COMPUTER SOLUTIONS CO/TRACEWELL SYSTEMS INC- STRATEGIC ALLIANCE",7372,"United States","Completed/Signed","Strategic Alliance",NA,2173817045,"United States","Americas","Panasonic Computer Solutions","US","SECAUCUS",4741,"Single location",4,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,"Medium sized company","matched","PANASONIC COMPUTER SOLUTIONS",NA,0,0,0,0,0,0,0,"unmatched"
"Tracewell Systems Inc","8711","2010-01-13",NA,"Pvd engineering svcs","United States","PANASONIC COMPUTER SOLUTIONS CO/TRACEWELL SYSTEMS INC- STRATEGIC ALLIANCE",7372,"United States","Completed/Signed","Strategic Alliance",NA,2173817045,"United States","Americas","Tracewell Systems Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","TRACEWELL SYSTEM","TRACEWELL SYSTEMS, INC.",3,3,1,1.66666666666667,1,3,0.555555555555556,"exact"
"IBM Corp","3571","2010-05-05",NA,"Manufacture computer products","United States","IBM /TEXAS TRANSPORTATION INSTITUTE- STRATEGIC ALLIANCE",8748,"United States","Completed/Signed","Strategic Alliance",NA,2181253045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"Texas Transp Inst","999A","2010-05-05",NA,"Natl govt agcy","United States","IBM /TEXAS TRANSPORTATION INSTITUTE- STRATEGIC ALLIANCE",8748,"United States","Completed/Signed","Strategic Alliance",NA,2181253045,"United States","Americas","Texas Transp Inst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","TEXAS TRANSP INST",NA,0,0,0,0,0,0,0,"unmatched"
"Hynix Semiconductor Inc","3674","2010-08-31",NA,"Mnfr semiconductors","South Korea","HYNIX SEMICONDUCTOR CORP(DNU)/HP(DNU)- STRATEGIC ALLIANCE",3674,"Supranational","Completed/Signed","Strategic Alliance",NA,2216122045,"South Korea","Asia","Hynix Semiconductor Inc","KR","ICHEON-SI",2611,"GUO",NA,78481271.4727181,81534156.9023483,64,179,70,16.51,6.702,NA,NA,12841633.8683082,1,0,"Very large company","matched","HYNIX SEMICONDUCTOR",NA,0,0,0,0,0,0,0,"unmatched"
"Hewlett Packard Co","3571","2010-08-31",NA,"Mnfr,whl computer equipment","United States","HYNIX SEMICONDUCTOR CORP(DNU)/HP(DNU)- STRATEGIC ALLIANCE",3674,"Supranational","Completed/Signed","Strategic Alliance",NA,2216122045,"United States","Americas","Hewlett Packard Co",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","HEWLETT PACKARD ",NA,0,0,0,0,0,0,0,"unmatched"
"Buongiorno Digital Innovation","7371","2011-03-18",NA,"Pvd mobile applications","India","BUONGIORNO DIGITAL INNOVATION INDIA PVT/INTERNATIONAL BUSINESS MACHINES~CORP- STRATEGIC ALLIANCE",7371,"India","Completed/Signed","Strategic Alliance",NA,2292039045,"India","Asia","Buongiorno Digital Innovation","IN","GURGAON",8299,"Independent co",NA,432.832793902491,467.935424678773,0,2,1,11.022,NA,NA,NA,0,0,0,"Small company","matched","BUONGIORNO DIGITAL INNOVATION",NA,0,0,0,0,0,0,0,"unmatched"
"IBM Corp","3571","2011-03-18",NA,"Manufacture computer products","United States","BUONGIORNO DIGITAL INNOVATION INDIA PVT/INTERNATIONAL BUSINESS MACHINES~CORP- STRATEGIC ALLIANCE",7371,"India","Completed/Signed","Strategic Alliance",NA,2292039045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"Hewlett Packard Co","3571","2011-06-01",NA,"Mnfr,whl computer equipment","United States","HEWLETT-PACKARD CO/POLYCOM INC-STRATEGIC ALLIANCE",3571,"United States","Completed/Signed","Strategic Alliance",NA,2315438045,"United States","Americas","Hewlett Packard Co",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","HEWLETT PACKARD ",NA,0,0,0,0,0,0,0,"unmatched"
"Polycom Inc","3661","2011-06-01",NA,"Mnfr,whl communication equip","United States","HEWLETT-PACKARD CO/POLYCOM INC-STRATEGIC ALLIANCE",3571,"United States","Completed/Signed","Strategic Alliance",NA,2315438045,"United States","Americas","Polycom Inc","US",NA,NA,"Controlled subs.",NA,809133.948781238,970394,540,2,42,-8.248,NA,NA,NA,579383.179251354,0,1,"Very large company","matched","POLYCOM","POLYCOM, LLC",436,436,1.16284403669725,2.91284403669725,1,507,0.547432590673373,"exact"
"Competitive Technologies Inc","6794","2011-07-15",NA,"Pvd patent mgmt svcs","United States","COMPETITIVE TECHNOLOGIES INC/BICOM INC-STRATEGIC ALLIANCE",5047,"Supranational","Completed/Signed","Strategic Alliance",NA,2329788045,"United States","Americas","Competitive Technologies Inc","US","FAIRFIELD",8299,"GUO",7,3684.86066040685,3884.21,2,12,1,-98.569,NA,NA,NA,0,1,0,"Medium sized company","matched","COMPETITIVE TECHNOLOGY","COMPETITIVE TECHNOLOGIES, INC.",8,8,1,2.375,1,8,0.3125,"exact"
"BiCOM Inc","3571","2011-07-15",NA,"Multi-media company","United States","COMPETITIVE TECHNOLOGIES INC/BICOM INC-STRATEGIC ALLIANCE",5047,"Supranational","Completed/Signed","Strategic Alliance",NA,2329788045,"United States","Americas","BiCOM Inc","US","CHARLOTTE",7490,"Single location",40,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,"Medium sized company","matched","BICOM","BICOM, INC.",2,2,1.5,1,1,3,0.333333333333333,"exact"
"City of Portland, Oregon","999C","2011-08-10",NA,"State government","United States","CITY OF PORTLAND, OREGON/IBM-STRATEGIC ALLIANCE",7371,"United States","Completed/Signed","Strategic Alliance",NA,2336168045,"United States","Americas","City of Portland, Oregon","US","WASHINGTON",8411,"Single location",7,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,"Medium sized company","matched","CITY OF PORTLAND, OREGON","CITY OF PORTLAND OREGON",1,1,0,1,1,0,0,"fuzzy"
"IBM Corp","3571","2011-08-10",NA,"Manufacture computer products","United States","CITY OF PORTLAND, OREGON/IBM-STRATEGIC ALLIANCE",7371,"United States","Completed/Signed","Strategic Alliance",NA,2336168045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"Dell Inc","3571","2011-09-06",NA,"Manufacture,wholesale computer","United States","DELL INC/BAIDU INC-STRATEGIC ALLIANCE",3663,"China","Completed/Signed","Strategic Alliance",NA,2342603045,"United States","Americas","Dell Inc","US","ROUND ROCK",2620,"Controlled subs.",111300,35084870.3548407,47540000,715,1,311,4.989,1.883,NA,NA,3868634.63189052,0,1,"Very large company","matched","DELL","DELL INC.",5,5,1.2,3,1,6,0.555555555555556,"exact"
"Baidu Inc","7375","2011-09-06",NA,"Web Search Portals","China","DELL INC/BAIDU INC-STRATEGIC ALLIANCE",3663,"China","Completed/Signed","Strategic Alliance",NA,2342603045,"China","Asia","Baidu Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","BAIDU",NA,0,0,0,0,0,0,0,"unmatched"
"WellPoint Inc","6324","2011-09-12",NA,"Pvd managed health care svcs","United States","WELLPOINT INC/INTERNATIONAL BUSINESS MACHINES CORP{IBM}-STRATEGIC ALLIANCE",7372,"United States","Completed/Signed","Strategic Alliance",NA,2344057045,"United States","Americas","WellPoint Inc","US","INDIANAPOLIS",6511,"GUO",104200,112512322.316175,116889000,616,1899,515,5.108,NA,NA,NA,NA,1,0,"Very large company","matched","WELLPOINT","WELLPOINT, INC.",1,1,1,3,1,1,1,"exact"
"IBM Corp","3571","2011-09-12",NA,"Manufacture computer products","United States","WELLPOINT INC/INTERNATIONAL BUSINESS MACHINES CORP{IBM}-STRATEGIC ALLIANCE",7372,"United States","Completed/Signed","Strategic Alliance",NA,2344057045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"IBM Corp","3571","2011-11-11",NA,"Manufacture computer products","United States","INTERNATIONAL BUSINESS MACHINES CORP/SUNING APPLIANCE CO LTD-STRATEGIC~ALLIANCE",7375,"United States~China","Completed/Signed","Strategic Alliance",NA,2361784045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"Suning Appliance Co Ltd","5722","2011-11-11",NA,"Ret home appliances","China","INTERNATIONAL BUSINESS MACHINES CORP/SUNING APPLIANCE CO LTD-STRATEGIC~ALLIANCE",7375,"United States~China","Completed/Signed","Strategic Alliance",NA,2361784045,"China","Asia","Suning Appliance Co Ltd","CN","GUIYANG",4643,"Controlled subs.",6,1280.84721840081,1415.33681151867,2,2,0,0.421,NA,NA,NA,0,0,1,"Medium sized company","matched","SUNING APPLIANCE ",NA,0,0,0,0,0,0,0,"unmatched"
"IBM Corp","3571","2012-03-30",NA,"Manufacture computer products","United States","INTERNATIONAL BUSINESS MACHINES {IBM}/RICE UNIVERSITY-STRATEGIC ALLIANCE",7376,"United States","Completed/Signed","Strategic Alliance",NA,2425847045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"Rice University","8221","2012-03-30",NA,"University","United States","INTERNATIONAL BUSINESS MACHINES {IBM}/RICE UNIVERSITY-STRATEGIC ALLIANCE",7376,"United States","Completed/Signed","Strategic Alliance",NA,2425847045,"United States","Americas","Rice University","US","HOUSTON",8541,"Controlled subs.",7100,NA,NA,2,1,0,NA,NA,NA,NA,NA,0,1,"Very large company","matched","RICE UNIVERSITY","RICE UNIVERSITY",32,32,1.21875,3.34375,1,39,0.329388560157791,"exact"
"IBM Corp","3571","2012-08-31",NA,"Manufacture computer products","United States","INTERNATIONAL BUSINESS MACHINE{IBM}/VODAFONE GROUPL PLC-STRATEGIC ALLIANCE",7372,"Supranational","Completed/Signed","Strategic Alliance",NA,2446572045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"Vodafone Group Plc","4899","2012-08-31",NA,"Provide wireless telecommunication services","United Kingdom","INTERNATIONAL BUSINESS MACHINE{IBM}/VODAFONE GROUPL PLC-STRATEGIC ALLIANCE",7372,"Supranational","Completed/Signed","Strategic Alliance",NA,2446572045,"United Kingdom","Europe","Vodafone Group Plc","GB","NEWBURY",6190,"GUO",92834,128521000,138995422.401071,345,167,340,-3.244,0,NA,NA,46096000,1,0,"Very large company","matched","VODAFONE GROUP","VODAFONE GROUP PLC.",190,190,1.09473684210526,3.10526315789474,1,208,0.625277366863905,"exact"
"Dell Inc","3571","2012-09-10",NA,"Manufacture,wholesale computer","United States","DELL INC/RAMCO SYSTEMS LTD-STRATEGIC ALLIANCE",7372,"Supranational","Completed/Signed","Strategic Alliance",NA,2448909045,"United States","Americas","Dell Inc","US","ROUND ROCK",2620,"Controlled subs.",111300,35084870.3548407,47540000,715,1,311,4.989,1.883,NA,NA,3868634.63189052,0,1,"Very large company","matched","DELL","DELL INC.",5,5,1.2,3,1,6,0.555555555555556,"exact"
"Ramco Systems Ltd","7372","2012-09-10",NA,"Dvlp bus intelligence software","India","DELL INC/RAMCO SYSTEMS LTD-STRATEGIC ALLIANCE",7372,"Supranational","Completed/Signed","Strategic Alliance",NA,2448909045,"India","Asia","Ramco Systems Ltd","IN","CHENNAI",6209,"GUO",1668,72257.0259595525,78145.9515930712,22,36,24,-5.121,0,NA,NA,4338.2263381808,1,0,"Very large company","matched","RAMCO SYSTEM","RAMCO SYSTEMS LIMITED",13,13,1,5.76923076923077,1,13,1,"exact"
"China Comservice Jiangsu Corp","4813","2012-09-17",NA,"Pvd telecommunication svcs","China","CHINA COMSERVICE JIANGSU CORP/INROOM BROADCASTING NETWORK LLC-STRATEGIC~ALLIANCE",7372,"Supranational","Completed/Signed","Strategic Alliance",NA,2454551045,"China","Asia","China Comservice Jiangsu Corp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","CHINA COMSERVICE JIANGSU ",NA,0,0,0,0,0,0,0,"unmatched"
"InRoom Broadcasting Network","3571","2012-09-17",NA,"Pvd digital content svcs","United States","CHINA COMSERVICE JIANGSU CORP/INROOM BROADCASTING NETWORK LLC-STRATEGIC~ALLIANCE",7372,"Supranational","Completed/Signed","Strategic Alliance",NA,2454551045,"United States","Americas","InRoom Broadcasting Network","US","WILMINGTON",6020,"Single location",2,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,"Medium sized company","matched","INROOM BROADCASTING NETWORK",NA,0,0,0,0,0,0,0,"unmatched"
"Etihad Etisalat Co SJSC","4812","2012-09-19",NA,"Provide wireless telecommunications services","Saudi Arabia","ETIHAD ETISALAT CO/INTERNATIONAL BUSINESS MACHINES CORP{IBM}-STRATEGIC~ALLIANCE",7382,"Saudi Arabia","Completed/Signed","Strategic Alliance",NA,2451959045,"Saudi Arabia","Asia","Etihad Etisalat Co SJSC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","ETIHAD ETISALATSJSC",NA,0,0,0,0,0,0,0,"unmatched"
